"name.player","id.player","team","id.team","is.active_player","seasons.played","year.from","year.to","name.last","name.first","display_first_last","code.player","city.team","name.team","stem.team","code.team","games_played_flag","url.player"
"Alvin Attles",1932,NA,1,FALSE,10,1960,1970,"Attles"," Alvin","Alvin Attles","HISTADD_alvin_attles",NA,NA,NA,NA,"Y","1932http://stats.nba.com/player/#!/"
"Chet Aubuchon",1933,NA,1,FALSE,0,1946,1946,"Aubuchon"," Chet","Chet Aubuchon","HISTADD_chet_aubuchon",NA,NA,NA,NA,"Y","1933http://stats.nba.com/player/#!/"
"Stacey Augmon",1628,NA,1,FALSE,14,1991,2005,"Augmon"," Stacey","Stacey Augmon","stacey_augmon",NA,NA,NA,NA,"Y","1628http://stats.nba.com/player/#!/"
"Dj Augustin",765,"9 19",8,TRUE,8,2008,2016,"Augustin"," DJ","D.J. Augustin","dj_augustin",9,19,9,19,"Y","765http://stats.nba.com/player/#!/"
"James Augustine",652,NA,1,FALSE,1,2006,2007,"Augustine"," James","James Augustine","james_augustine",NA,NA,NA,NA,"Y","652http://stats.nba.com/player/#!/"
"Ike Austin",174,NA,1,FALSE,10,1991,2001,"Austin"," Ike","Ike Austin","ike_austin",NA,NA,NA,NA,"Y","174http://stats.nba.com/player/#!/"
"John Austin",1934,NA,1,FALSE,0,1966,1966,"Austin"," John","John Austin","HISTADD_johnny_austin",NA,NA,NA,NA,"Y","1934http://stats.nba.com/player/#!/"
"Ken Austin",1935,NA,1,FALSE,0,1983,1983,"Austin"," Ken","Ken Austin","HISTADD_ken_austin",NA,NA,NA,NA,"Y","1935http://stats.nba.com/player/#!/"
"Anthony Avent",196,NA,1,FALSE,7,1992,1999,"Avent"," Anthony","Anthony Avent","HISTADD_anthony_avent",NA,NA,NA,NA,"Y","196http://stats.nba.com/player/#!/"
"William Averitt",1936,NA,1,FALSE,1,1976,1977,"Averitt"," William","William Averitt","HISTADD_bird_averitt",NA,NA,NA,NA,"Y","1936http://stats.nba.com/player/#!/"
"William Avery",553,NA,1,FALSE,3,1999,2002,"Avery"," William","William Avery","HISTADD_william_avery",NA,NA,NA,NA,"Y","553http://stats.nba.com/player/#!/"
